Source,Target,,
EndySHD96,ThaiFootballs ,,
amang_persib,VikingUinJkt ,,
BobotohCisitu,VikingUinJkt ,,
amang_persib,AzzahrahSyifa_ ,,
amang_persib,persib ,,
nandajolondo,AzzahrahSyifa_ ,,
SoccerTalkApp,ekowBoy ,,
kumparan,ekowBoy ,,
sddm8,persib ,,
gilangpermadi13,persib ,,
idyllic48bola,ThaiFootballs ,,
TukangKomporin,tribunjabar ,,
infosuporter,ThaiFootballs ,,
StevanyD,Gilang_Mahesa ,,
StevanyD,persib ,,
ObosSobur,IndosiarID ,,
ObosSobur,IndosiarSports ,,
fahmiahfasidiq,Bolalob ,,
iyan1933_,bonekcasuals ,,
iyan1933_,persib ,,
amang_persib,persib ,,
kinsodik4,ThaiFootballs ,,
amang_persib,ThaiFootballs ,,
Bayu_P20,VikingUinJkt ,,
alpan_hs,VikingUinJkt ,,
hardiansyahdid,AzzahrahSyifa_ ,,
hardiansyahdid,persib ,,
RMahmudah06,AzzahrahSyifa_ ,,
amang_persib,ekowBoy ,,
nuryadin_achmad,ekowBoy ,,
Tata24091979,persib ,,
bonekcasuals,persib ,,
Wulanimut2000,ThaiFootballs ,,
Barisan1933,tribunjabar ,,
AzzahrahSyifa_,ThaiFootballs ,,
anggripurnama,Gilang_Mahesa ,,
anggripurnama,persib ,,
jurnalfaktaid,IndosiarID ,,
jurnalfaktaid,IndosiarSports ,,
Barisan1933,Bolalob ,,
idr_wijaya,bonekcasuals ,,
idr_wijaya,persib ,,
Fik77328444,persib ,,
silviadinalrst,ThaiFootballs ,,
Budi63669295,ThaiFootballs ,,
dinaradrianaa,VikingUinJkt ,,
QAbdult,VikingUinJkt ,,
Aikko22,AzzahrahSyifa_ ,,
Tata24091979,AzzahrahSyifa_ ,,
sanekalamerah,ekowBoy ,,
Tata24091979,ekowBoy ,,
faisalachmadict,persib ,,
jak477,persib ,,
CallmeBejo,ThaiFootballs ,,
dodisupriatna33,tribunjabar ,,
Abiet3393,ThaiFootballs ,,
Asep22844013,Gilang_Mahesa ,,
Rockhansip1933,IndosiarID ,,
Abiet3393,Bolalob ,,
1w4nGrab,bonekcasuals ,,
1w4nGrab,persib ,,
varinmuchtar,persib ,,
EkiBagasPati,ThaiFootballs ,,
efendi_hanafi,ThaiFootballs ,,
VikingCicurug,VikingUinJkt ,,
Tata24091979,VikingUinJkt ,,
CallmeBejo,AzzahrahSyifa_ ,,
CallmeBejo,persib ,,
StevanyD,AzzahrahSyifa_ ,,
KardiBoy_,ekowBoy ,,
jurnalis_selow,ekowBoy ,,
Bolalob,persib ,,
kangnugo85,persib ,,
GOAL_ID,ThaiFootballs ,,
Berita8Bandung,tribunjabar ,,
Berita8Bandung,ThaiFootballs ,,
aziskepret,Gilang_Mahesa ,,
aziskepret,persib ,,
seputar_bdgraya,IndosiarID ,,
seputar_bdgraya,IndosiarSports ,,
KJWGEMBEL,Bolalob ,,
mrezaa28,bonekcasuals ,,
KJWGEMBEL,persib ,,
aguspasha2204,ThaiFootballs ,,
KJWGEMBEL,ThaiFootballs ,,
VWkarawang,VikingUinJkt ,,
twit_olahraga,VikingUinJkt ,,
Muhamma64087333,AzzahrahSyifa_ ,,
ramaalfarizii,AzzahrahSyifa_ ,,
bolacomID,ekowBoy ,,
MarcopoloDadjal,ekowBoy ,,
kamibiru,persib ,,
Bayu_P20,persib ,,
AsgarSiti,ThaiFootballs ,,
AmidHeryana,tribunjabar ,,
IRizaliqbal,ThaiFootballs ,,
pangestuandriya,Gilang_Mahesa ,,
pangestuandriya,persib ,,
adymmaz,IndosiarID ,,
adymmaz,IndosiarSports ,,
Gilang_Mahesa,Bolalob ,,
GalihGieloof,bonekcasuals ,,
GalihGieloof,persib ,,
Alfiannv,persib ,,
Arief_RMCF,ThaiFootballs ,,
bayuprayogaa,ThaiFootballs ,,
VikingCicurug,VikingUinJkt ,,
argiiee,VikingUinJkt ,,
Bayu_P20,AzzahrahSyifa_ ,,
ariez_1927,AzzahrahSyifa_ ,,
TeEn_Irfan,ekowBoy ,,
Thedhan11,ekowBoy ,,
diqnotdick,persib ,,
Refnal_Riant0,persib ,,
MufqiSimpati,ThaiFootballs ,,
alexvanhalenn23,tribunjabar ,,
TimoWijaya,ThaiFootballs ,,
RMaulana48,Gilang_Mahesa ,,
GarisKenyaL69,IndosiarID ,,
StevanyD,Bolalob ,,
MRitaJKT,bonekcasuals ,,
MRitaJKT,persib ,,
ucinx_cep,persib ,,
MufqiSimpati,ThaiFootballs ,,
IdChiko,ThaiFootballs ,,
LilyWHandayani,VikingUinJkt ,,
FauziRefki,VikingUinJkt ,,
GarisKenyaL69,AzzahrahSyifa_ ,,
Sandy_SY56,AzzahrahSyifa_ ,,
MaungFootball,ekowBoy ,,
Agungrizkys04,ekowBoy ,,
feryholigan,persib ,,
thebombsbogor,persib ,,
Bolaindocom,ThaiFootballs ,,
pialaprsiden,tribunjabar ,,
Bola_Kukar,ThaiFootballs ,,
i_uppum,Gilang_Mahesa ,,
i_uppum,persib ,,
Soesmerdeka,IndosiarID ,,
Soesmerdeka,IndosiarSports ,,
Aassaddd,Bolalob ,,
nuruluyf93,bonekcasuals ,,
_radityan,persib ,,
gumay97,ThaiFootballs ,,
rendyago,ThaiFootballs ,,
Bolalob,VikingUinJkt ,,
KurniawanRicho,VikingUinJkt ,,
addiiID,AzzahrahSyifa_ ,,
addiiID,persib ,,
Viking3399,AzzahrahSyifa_ ,,
Ahmadadull182,ekowBoy ,,
anggitarmanu,ekowBoy ,,
andiazpi,persib ,,
karitulang_,persib ,,
Viking3399,ThaiFootballs ,,
NovaBagja,tribunjabar ,,
andiazpi,ThaiFootballs ,,
Zonabiru_scity,Gilang_Mahesa ,,
Zonabiru_scity,persib ,,
KeunMarudany,IndosiarID ,,
KeunMarudany,IndosiarSports ,,
AjusNco,Bolalob ,,
Standin_dream,bonekcasuals ,,
Standin_dream,persib ,,
Wonk_1012,persib ,,
EfrianRifki,ThaiFootballs ,,
TiPersib,ThaiFootballs ,,
ajiwardana_,VikingUinJkt ,,
Thedhan11,VikingUinJkt ,,
mustajib9,AzzahrahSyifa_ ,,
iqbalsnake22,AzzahrahSyifa_ ,,
KamalJr10443823,ekowBoy ,,
hilmanrmdhn,ekowBoy ,,
ikaanisaaa,persib ,,
Abdiohenx,persib ,,
thebombsbogor,ThaiFootballs ,,
Srihry,tribunjabar ,,
Viking3399,ThaiFootballs ,,
infosuporter,Gilang_Mahesa ,,
infosuporter,persib ,,
YogaOgem,IndosiarID ,,
YogaOgem,IndosiarSports ,,
syaepulbhr,Bolalob ,,
tribunkaltim,bonekcasuals ,,
tribunkaltim,persib ,,
indraqborne,persib ,,
fikryhaws,ThaiFootballs ,,
LatunruJie,ThaiFootballs ,,
ajis__,VikingUinJkt ,,
ErvandaJr,VikingUinJkt ,,
Ahmadolshop1933,AzzahrahSyifa_ ,,
FinallyYogi,AzzahrahSyifa_ ,,
rafniasriani,ekowBoy ,,
imtress,ekowBoy ,,
nurizwan_reza,persib ,,
TukangKomporin,persib ,,
nurya_saiman,ThaiFootballs ,,
thebombsbogor,tribunjabar ,,
MuhammadPamun12,ThaiFootballs ,,
satriarizkip,Gilang_Mahesa ,,
satriarizkip,persib ,,
kazekage_sama,IndosiarID ,,
kazekage_sama,IndosiarSports ,,
Zonabiru_scity,Bolalob ,,
andy_vicious,bonekcasuals ,,
andy_vicious,persib ,,
Jennife27305978,persib ,,
Naimvcu,ThaiFootballs ,,
VeFelcia,ThaiFootballs ,,
VeFelcia,VikingUinJkt ,,
CilebutDani,VikingUinJkt ,,
VeFelcia,AzzahrahSyifa_ ,,
VeFelcia,persib ,,
VeFelcia,AzzahrahSyifa_ ,,
VinoTamba,ekowBoy ,,
Ajang_Milanisti,ekowBoy ,,
sigitprabowo14,persib ,,
VeFelcia,persib ,,
nuruluyf93,ThaiFootballs ,,
BolaBanget,tribunjabar ,,
Juku_eja1915,ThaiFootballs ,,
nuruluyf93,Gilang_Mahesa ,,
anggiiiokta,IndosiarID ,,
anggiiiokta,IndosiarSports ,,
nuruluyf93,Bolalob ,,
fikihfaozi,bonekcasuals ,,
fikihfaozi,persib ,,
BobiLudimara,persib ,,
indosportdotcom,ThaiFootballs ,,
Chimaa29,ThaiFootballs ,,
enaknyasiapanih,VikingUinJkt ,,
a_peye23,VikingUinJkt ,,
adymaul,AzzahrahSyifa_ ,,
adymaul,persib ,,
infoMKS_,AzzahrahSyifa_ ,,
onbobotohonline,ekowBoy ,,
irfan_Dzago46,ekowBoy ,,
onbobotohonline,persib ,,
V_otista33,persib ,,
juniarrijatama,ThaiFootballs ,,
SINDOnews,tribunjabar ,,
IQ_Bet,ThaiFootballs ,,
jabot_jv,Gilang_Mahesa ,,
jabot_jv,persib ,,
einara_nayra,IndosiarID ,,
einara_nayra,IndosiarSports ,,
bandungaktual,Bolalob ,,
infobobotoh,bonekcasuals ,,
infobobotoh,persib ,,
Rizaldi_1933,persib ,,
Muhammadhasbi86,ThaiFootballs ,,
Naimvcu,ThaiFootballs ,,
DeraFajar182,VikingUinJkt ,,
yuniarayun,VikingUinJkt ,,
AsepSudita,AzzahrahSyifa_ ,,
AsepSudita,persib ,,
Naimvcu,AzzahrahSyifa_ ,,
Denny_7802,ekowBoy ,,
fajarsidiqg,ekowBoy ,,
budhie_23,persib ,,
Naimvcu,persib ,,
_realtroy,ThaiFootballs ,,
Naimvcu,tribunjabar ,,
ntar,ThaiFootballs ,,
alyngcavalera,Gilang_Mahesa ,,
alyngcavalera,persib ,,
Naimvcu,IndosiarID ,,
Naimvcu,IndosiarSports ,,
Fbr_Nug,Bolalob ,,
agussborr,bonekcasuals ,,
agussborr,persib ,,
caphodel86,persib ,,
Naimvcu,ThaiFootballs ,,
Rossmindar,ThaiFootballs ,,
egawikaya_,VikingUinJkt ,,
Asep_urg,VikingUinJkt ,,
ShufiUr,AzzahrahSyifa_ ,,
ShufiUr,persib ,,
tisanshine,AzzahrahSyifa_ ,,
Naimvcu,ekowBoy ,,
yzf_auliaaaa,ekowBoy ,,
krishnared,persib ,,
a_peye23,persib ,,
wawaw_cavalera,ThaiFootballs ,,
a_peye23,tribunjabar ,,
BeweckPratama,ThaiFootballs ,,
febryahmdrmdn,Gilang_Mahesa ,,
febryahmdrmdn,persib ,,
alam_akid,IndosiarID ,,
alam_akid,IndosiarSports ,,
ariez_1927,Bolalob ,,
WismaBeritaCom,bonekcasuals ,,
WismaBeritaCom,persib ,,
ReckyDR,persib ,,
Aditya_Bdg_,ThaiFootballs ,,
fajarrambu,ThaiFootballs ,,
praseptaa,VikingUinJkt ,,
BeweckPratama,VikingUinJkt ,,
Jimmy0960212758,AzzahrahSyifa_ ,,
panduwachyu_,AzzahrahSyifa_ ,,
DeraFajar182,ekowBoy ,,
rikiqiwil,ekowBoy ,,
a_peye23,persib ,,
Adityaaprlnd,persib ,,
Persib_Addict,ThaiFootballs ,,
fahrizal_apr,tribunjabar ,,
dedenotto,ThaiFootballs ,,
BolaBanget,Gilang_Mahesa ,,
BolaBanget,persib ,,
krist_wulan,IndosiarID ,,
krist_wulan,IndosiarSports ,,
ardians247,Bolalob ,,
Fik77328444,bonekcasuals ,,
maungcyber,persib ,,
Fik77328444,ThaiFootballs ,,
persibbdg_info,ThaiFootballs ,,
Fik77328444,VikingUinJkt ,,
andri_ndrew,VikingUinJkt ,,
RIZKYNURADAM1,AzzahrahSyifa_ ,,
dvcxxschariev,AzzahrahSyifa_ ,,
bolatimesdotcom,ekowBoy ,,
Harian_Papua,ekowBoy ,,
BinekasJr,persib ,,
ridwanshldn,persib ,,
bonekcasuals,ThaiFootballs ,,
Risky_R1933,tribunjabar ,,
MaungFootball,ThaiFootballs ,,
Abiet3393,Gilang_Mahesa ,,
GrizelaWinda,IndosiarID ,,
GrizelaWinda,IndosiarSports ,,
dedenotto,Bolalob ,,
indra_maradena,bonekcasuals ,,
indra_maradena,persib ,,
suryangers,persib ,,
praseptaa,ThaiFootballs ,,
FootRight__,ThaiFootballs ,,
JOKT_,VikingUinJkt ,,
mairinandarson,VikingUinJkt ,,
her_ii,AzzahrahSyifa_ ,,
her_ii,persib ,,
lagaarifpratama,AzzahrahSyifa_ ,,
al_haleem,ekowBoy ,,
djakadwijaya17,ekowBoy ,,
US12_,persib ,,
mairinandarson,persib ,,
Asep_urg,ThaiFootballs ,,
firdanff,tribunjabar ,,
Noki_ms,ThaiFootballs ,,
doen_hazard,Gilang_Mahesa ,,
doen_hazard,persib ,,
doen_hazard,IndosiarID ,,
doen_hazard,IndosiarSports ,,
Andristione,Bolalob ,,
hiariazhar,bonekcasuals ,,
hiariazhar,persib ,,
destriapnr,persib ,,
TopickHidayat9,ThaiFootballs ,,
GilangGumilarDS,ThaiFootballs ,,
begenng,VikingUinJkt ,,
SahliWahyudin14,VikingUinJkt ,,
tribuntimur,AzzahrahSyifa_ ,,
tribuntimur,persib ,,
noviandy14,AzzahrahSyifa_ ,,
kiasleo,ekowBoy ,,
beritabandung1,ekowBoy ,,
heobaay,persib ,,
indrategil29,persib ,,
Ferly_Maulana,ThaiFootballs ,,
dvcxxschariev,tribunjabar ,,
dedenotto,ThaiFootballs ,,
ajinugraha1909,Gilang_Mahesa ,,
akun_endog,IndosiarID ,,
akun_endog,IndosiarSports ,,
ayep_we,Bolalob ,,
othot_1933,bonekcasuals ,,
Za13nal,persib ,,
1933PRSB,ThaiFootballs ,,
ZHEN_01,ThaiFootballs ,,
1933PRSB,VikingUinJkt ,,
Rendy_Butak,VikingUinJkt ,,
Aankurn64965138,AzzahrahSyifa_ ,,
Otongs,AzzahrahSyifa_ ,,
skrrrahh,ekowBoy ,,
Jay03647671,ekowBoy ,,
ridwaaann_,persib ,,
ang_danim,persib ,,
SamsulH347,ThaiFootballs ,,
kecoabusuk666,tribunjabar ,,
iqballuphmira,ThaiFootballs ,,
i_fadh,Gilang_Mahesa ,,
i_fadh,persib ,,
1933PRSB,IndosiarID ,,
1933PRSB,IndosiarSports ,,
tony_alwie,Bolalob ,,
m_iksan51,bonekcasuals ,,
IrvanP_,persib ,,
AdenRuhi,ThaiFootballs ,,
iqbaltrisanda,ThaiFootballs ,,
33_abah,VikingUinJkt ,,
r_sekeda,VikingUinJkt ,,
AwaludinBujang,AzzahrahSyifa_ ,,
AwaludinBujang,persib ,,
sultansabri,AzzahrahSyifa_ ,,
IrvanP_,ekowBoy ,,
AwolJeh,ekowBoy ,,
NewsToday_ID,persib ,,
WisnuSubarkah4,persib ,,
IrvanP_,ThaiFootballs ,,
anisapuryp,tribunjabar ,,
xprdtyx,ThaiFootballs ,,
ahmadmustofa87,Gilang_Mahesa ,,
kodde33,IndosiarID ,,
Wi_m23,Bolalob ,,
dapokankuda,bonekcasuals ,,
dapokankuda,persib ,,
rendydolz,persib ,,
diohanin,ThaiFootballs ,,
KangHavid,ThaiFootballs ,,
dedenotto,VikingUinJkt ,,
rizkyfaidan,VikingUinJkt ,,
Irnawan_1987,AzzahrahSyifa_ ,,
rifkyfuselier,AzzahrahSyifa_ ,,
abdulmujieb,ekowBoy ,,
Rickythekichlik,ekowBoy ,,
inilahdotcom,persib ,,
mundus_ardi,persib ,,
Muh_Indraaaaa,ThaiFootballs ,,
KangHavid,tribunjabar ,,
MNCkoranSINDO,ThaiFootballs ,,
AsepNandangGs,Gilang_Mahesa ,,
AsepNandangGs,persib ,,
cidaunogemaung,IndosiarID ,,
cidaunogemaung,IndosiarSports ,,
Bobotoh_Cikutra,Bolalob ,,
ronichi_19,bonekcasuals ,,
UelahReza,persib ,,
destriapnr,ThaiFootballs ,,
woelannnn,ThaiFootballs ,,
Ekosaputra1Doni,VikingUinJkt ,,
Ahadiprakasa_,VikingUinJkt ,,
dedenotto,AzzahrahSyifa_ ,,
dedenotto,persib ,,
dianrstdi,AzzahrahSyifa_ ,,
destriapnr,ekowBoy ,,
RossoneriBram,ekowBoy ,,
Ammarzakf,persib ,,
AwolJeh,persib ,,
ahmadiedja,ThaiFootballs ,,
rifqirizalni,tribunjabar ,,
tribunjabar,ThaiFootballs ,,
DerLan_15,Gilang_Mahesa ,,
sepatu_Sobekk,IndosiarID ,,
sepatu_Sobekk,IndosiarSports ,,
megafakhrim,Bolalob ,,
iponksatria,bonekcasuals ,,
iponksatria,persib ,,
andreandrian8,persib ,,
haiflie,ThaiFootballs ,,
TukangNyiyir,ThaiFootballs ,,
info_umbulharjo,VikingUinJkt ,,
info_tegalrejo,VikingUinJkt ,,
bolacomID,AzzahrahSyifa_ ,,
bolacomID,persib ,,
RobiGusman2,AzzahrahSyifa_ ,,
DanielNuril,ekowBoy ,,
andreandrian8,ekowBoy ,,
Aindriawandotco,persib ,,
deriripandi11,persib ,,
ArdelinoArip,ThaiFootballs ,,
KangHavid,tribunjabar ,,
sikikorma,ThaiFootballs ,,
Damar98cempor,Gilang_Mahesa ,,
Damar98cempor,persib ,,
maulidanaswani,IndosiarID ,,
maulidanaswani,IndosiarSports ,,
phanzhoel,Bolalob ,,
zamilzn1,bonekcasuals ,,
iradiobdg,persib ,,
GalihAnwarAS,ThaiFootballs ,,
rifqirizalni,ThaiFootballs ,,
AsepSudita,VikingUinJkt ,,
riorpangestu,VikingUinJkt ,,
IniFiann,AzzahrahSyifa_ ,,
IniFiann,persib ,,
ApriBodoo,AzzahrahSyifa_ ,,
Ahadiprakasa_,ekowBoy ,,
tribunjabar,ekowBoy ,,
azharihabib_a,persib ,,
itsme_citRa,persib ,,
rianpurnama095,ThaiFootballs ,,
ginanjar28_,tribunjabar ,,
SidhartaHarris,ThaiFootballs ,,
zamilzn1,Gilang_Mahesa ,,
ucinx_cep,IndosiarID ,,
ucinx_cep,IndosiarSports ,,
zamilzn1,Bolalob ,,
sutoyomi,bonekcasuals ,,
sutoyomi,persib ,,
RifkiAgustiawa1,persib ,,
jono33__,ThaiFootballs ,,
bmmbmm,ThaiFootballs ,,
PanggilRach,VikingUinJkt ,,
RifkiAgustiawa1,VikingUinJkt ,,
mposport,AzzahrahSyifa_ ,,
mposport,persib ,,
dedenotto,AzzahrahSyifa_ ,,
SeptioHrd,ekowBoy ,,
rianpurnama095,ekowBoy ,,
MayaAnggita14,persib ,,
latjumalatpilat,persib ,,
NikiGalihP_,ThaiFootballs ,,
MaungFootball,tribunjabar ,,
rianpurnama095,ThaiFootballs ,,
thaufik16,Gilang_Mahesa ,,
thaufik16,IndosiarID ,,
DevitaNSPoetri_,Bolalob ,,
MR_Rodiiii,bonekcasuals ,,
MR_Rodiiii,persib ,,
LihinWei,persib ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,VikingUinJkt ,,
dedenotto,VikingUinJkt ,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
DevitaNSPoetri_,persib ,,
deanbaper,AzzahrahSyifa_ ,,
DevitaNSPoetri_,ekowBoy ,,
dedenotto,ekowBoy ,,
rianpurnama095,persib ,,
MayaAnggita14,persib ,,
MayaAnggita14,ThaiFootballs ,,
andkadty,tribunjabar ,,
Rama_Les,ThaiFootballs ,,
DevitaNSPoetri_,Gilang_Mahesa ,,
DevitaNSPoetri_,persib ,,
Asepyaufik_29,IndosiarID ,,
DevitaNSPoetri_,Bolalob ,,
duafutra25,bonekcasuals ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,ThaiFootballs ,,
SINDOnews,VikingUinJkt ,,
22rahmatf,VikingUinJkt ,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
DevitaNSPoetri_,persib ,,
ilyas_rw,AzzahrahSyifa_ ,,
nyankobugsyyy,ekowBoy ,,
DevitaNSPoetri_,ekowBoy ,,
D_tyow,persib ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,ThaiFootballs ,,
dsudr,tribunjabar ,,
VIVAcoid,ThaiFootballs ,,
AMuzadi,Gilang_Mahesa ,,
AMuzadi,persib ,,
maungleungsir33,IndosiarID ,,
DevitaNSPoetri_,Bolalob ,,
dedenotto,bonekcasuals ,,
dedenotto,persib ,,
edoeycs,persib ,,
arbywidiyanto1,ThaiFootballs ,,
AndiTirta33,ThaiFootballs ,,
DevitaNSPoetri_,VikingUinJkt ,,
DevitaNSPoetri_,VikingUinJkt ,,
MayaAnggita14,AzzahrahSyifa_ ,,
siiyappp,AzzahrahSyifa_ ,,
DevitaNSPoetri_,ekowBoy ,,
DevitaNSPoetri_,ekowBoy ,,
RyanHid89058624,persib ,,
DevitaNSPoetri_,persib ,,
RadietzSadega,ThaiFootballs ,,
DevitaNSPoetri_,tribunjabar ,,
VIVAbola,ThaiFootballs ,,
DevitaNSPoetri_,Gilang_Mahesa ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,IndosiarID ,,
DevitaNSPoetri_,IndosiarSports ,,
DevitaNSPoetri_,Bolalob ,,
DevitaNSPoetri_,bonekcasuals ,,
DevitaNSPoetri_,persib ,,
F__Hasan,persib ,,
Ahmadolshop1933,ThaiFootballs ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,VikingUinJkt ,,
BayuAprilida15,VikingUinJkt ,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
iponksatria,ekowBoy ,,
BayuAprilida15,ekowBoy ,,
DevitaNSPoetri_,persib ,,
AndriyHilman,persib ,,
CBBBL,ThaiFootballs ,,
TiPersib,tribunjabar ,,
FANASMASH,ThaiFootballs ,,
infogoalkeeper5,Gilang_Mahesa ,,
arifinonboard,IndosiarID ,,
arifinonboard,IndosiarSports ,,
ginanjar28_,Bolalob ,,
MayaAnggita14,bonekcasuals ,,
pipincolony,persib ,,
mulyanajirul,ThaiFootballs ,,
Jazuli_AM,ThaiFootballs ,,
infogoalkeeper5,VikingUinJkt ,,
maungleungsir33,VikingUinJkt ,,
poetsoen_tea,AzzahrahSyifa_ ,,
poetsoen_tea,persib ,,
dedenotto,AzzahrahSyifa_ ,,
JasaFotoLiburan,ekowBoy ,,
Ahmadolshop1933,ekowBoy ,,
akun_endog,persib ,,
zakimerdeka,persib ,,
np_aditya,ThaiFootballs ,,
Arianpermana3,tribunjabar ,,
NovrizalFauzi,ThaiFootballs ,,
np_aditya,Gilang_Mahesa ,,
np_aditya,persib ,,
febb98_,IndosiarID ,,
febb98_,IndosiarSports ,,
Ohameyye3,Bolalob ,,
Ahmadolshop1933,bonekcasuals ,,
s03bro,persib ,,
Beulell1,ThaiFootballs ,,
np_aditya,ThaiFootballs ,,
Arynugraha__,VikingUinJkt ,,
np_aditya,VikingUinJkt ,,
AhmadSahid48,AzzahrahSyifa_ ,,
akun_endog,AzzahrahSyifa_ ,,
Ahmadolshop1933,ekowBoy ,,
tribuntimur,ekowBoy ,,
DevitaNSPoetri_,persib ,,
Favian_RF,persib ,,
thereal_iwe,ThaiFootballs ,,
BayuAprilida15,tribunjabar ,,
Kania_Sari27,ThaiFootballs ,,
madzbintang_182,Gilang_Mahesa ,,
Barisan1933,IndosiarID ,,
kabarfaktual999,Bolalob ,,
w_abdharis,bonekcasuals ,,
w_abdharis,persib ,,
Damar98cempor,persib ,,
AdiBayou11,ThaiFootballs ,,
doyanmusik,ThaiFootballs ,,
Nandang_RM,VikingUinJkt ,,
_cibomnord_,VikingUinJkt ,,
Rullyazlam20,AzzahrahSyifa_ ,,
Ebhoy11,AzzahrahSyifa_ ,,
BayuAprilida15,ekowBoy ,,
_McHamzah,ekowBoy ,,
rzless,persib ,,
Rafaelputra2015,persib ,,
Rafaelputra2015,ThaiFootballs ,,
gamalputumangg2,tribunjabar ,,
TribunWow,ThaiFootballs ,,
opicxyz,Gilang_Mahesa ,,
opicxyz,persib ,,
mbnichsan9,IndosiarID ,,
juliogea7,Bolalob ,,
mpunghandanovic,bonekcasuals ,,
mpunghandanovic,persib ,,
vikingcimahifc,persib ,,
walizagat1,ThaiFootballs ,,
zonabogorupdate,ThaiFootballs ,,
ario33clothing,VikingUinJkt ,,
firhanwicaksana,VikingUinJkt ,,
_cibomnord_,AzzahrahSyifa_ ,,
_cibomnord_,persib ,,
kartawiharja,AzzahrahSyifa_ ,,
Dhyz10,ekowBoy ,,
GHerdianhidayat,ekowBoy ,,
adi_yuwana,persib ,,
ccusnadi78,persib ,,
jhandre4n,ThaiFootballs ,,
HernandezTiz,tribunjabar ,,
chonburi_fc,ThaiFootballs ,,
Fahrulf33,Gilang_Mahesa ,,
andy_vicious,IndosiarID ,,
andy_vicious,IndosiarSports ,,
